property_type,society,sector,price,price_per_sqrt,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
house,grover homes sec 4,sector 4,4.75,9374.0,5,5,1,1.0,Old Property,5067.0,1,1,0,1,0,0,35,"28.4738° N, 77.0107° E",28.4738,77.0107
house,satya the hermitage,sector 103,3.15,6702.0,4,5,0,12.0,Relatively New,4700.0,0,0,0,0,0,1,61,"28.4949° N, 77.9845° E",28.4949,77.9845
flat,m3m woodshire,sector 107,0.9,5867.0,2,2,3,8.0,Relatively New,1281.0,1,0,0,0,0,0,74,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,green court,sector 90,0.45,7188.0,2,2,1,2.0,New Property,696.0,0,0,0,0,0,0,42,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,emaar imperial gardens,sector 102,1.7,8395.0,3,4,3+,8.0,Relatively New,1750.0,0,1,0,1,0,0,174,"28.4750° N, 77.9715° E",28.475,77.9715
flat,m3m capital,sector 113,2.37,11500.0,4,4,3+,20.0,Under Construction,2060.0,1,0,0,0,0,1,143,"28.5287° N, 77.0233° E",28.5287,77.0233
house,independent,sector 8,0.45,9000.0,1,1,1,3.0,Moderately Old,556.0,0,0,0,0,0,1,0,"28.4668° N, 77.0225° E",28.4668,77.0225
flat,vatika the seven lamps,sector 82,1.0,5923.0,2,2,2,11.0,Relatively New,1299.0,1,0,0,0,0,0,90,"28.3935° N, 76.9600° E",28.3935,76.96
flat,ss the leaf,sector 85,1.85,7682.0,3,4,3,2.0,Relatively New,2179.0,1,1,0,0,0,0,49,"28.4042° N, 77.9513° E",28.4042,77.9513
house,independent,sector 17a,1.52,19869.0,2,2,1,1.0,Old Property,105.0,0,0,0,0,0,1,22,"28.4785° N, 77.0600° E",28.4785,77.06
flat,dlf the ultima,sector 81,2.3,14603.0,3,4,3+,27.0,Relatively New,1825.0,0,1,0,0,0,0,119,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,paras dews,sector 106,0.87,9255.0,2,2,3+,1.0,New Property,1120.0,0,0,0,0,0,1,174,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,mapsko mount ville,sector 79,1.55,8539.0,3,4,3,11.0,Relatively New,1416.0,0,1,0,0,0,0,152,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,ss the leaf,sector 85,2.15,8928.0,3,5,3,2.0,New Property,2179.0,0,0,0,0,0,1,53,"28.4042° N, 77.9513° E",28.4042,77.9513
house,independent,sector 108,1.7,5666.0,4,4,3+,1.0,Relatively New,3000.0,0,0,0,0,0,1,0,"28.5134° N, 77.9830° E",28.5134,77.983
flat,green campus chs,manesar,0.9,3935.0,3,3,3+,6.0,Moderately Old,2070.0,0,1,0,0,0,1,5,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,assotech blith,sector 99,0.92,6739.0,2,2,3+,22.0,Under Construction,1235.0,0,0,0,0,0,1,56,"28.4640° N, 77.9614° E",28.464,77.9614
flat,emaar mgf the palm drive,sector 66,2.8,16470.0,3,4,3,8.0,Relatively New,1700.0,0,1,0,0,0,0,117,"28.3925° N, 77.0541° E",28.3925,77.0541
house,independent,sector 7,2.25,15625.0,3,3,2,2.0,Old Property,1440.0,0,0,0,0,0,0,27,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,ats kocoon,sector 109,2.22,10596.0,3,3,3,20.0,Relatively New,1896.0,0,1,0,0,1,1,79,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,mrg skyline,sector 106,1.82,13392.0,3,2,2,4.0,Relatively New,1359.0,0,0,0,0,0,1,0,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,the penthouses at the hibiscus,sector 50,8.5,8500.0,4,4,3,9.0,Moderately Old,11111.0,0,1,0,0,0,1,35,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,dlf the arbour,sector 63,7.8,19747.0,4,4,0,6.0,New Property,3950.0,0,0,0,0,0,1,61,"28.3971° N, 77.0867° E",28.3971,77.0867
flat,dlf regal gardens,sector 90,1.7,7223.0,4,4,3+,15.0,Moderately Old,2005.0,0,1,0,0,0,1,38,"28.4085° N, 77.9369° E",28.4085,77.9369
house,eldeco mansionz,sector 48,6.0,22222.0,4,4,3+,2.0,Moderately Old,2700.0,0,1,0,0,0,1,69,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,pareena mi casa,sector 68,1.85,9310.0,3,3,3+,13.0,Under Construction,1798.0,0,0,0,0,0,1,47,"28.3853° N, 77.0484° E",28.3853,77.0484
flat,ansal housing highland park,sector 103,0.8,5878.0,2,2,2,9.0,Relatively New,1361.0,0,0,0,0,0,1,0,"28.4949° N, 77.9845° E",28.4949,77.9845
flat,ansal housing highland park,sector 103,0.88,6429.0,2,2,3,3.0,New Property,1232.0,0,0,0,0,0,1,52,"28.4949° N, 77.9845° E",28.4949,77.9845
house,independent,sector 11,4.0,19753.0,5,4,1,2.0,Moderately Old,2025.0,0,0,0,0,0,1,0,"28.4531° N, 77.0202° E",28.4531,77.0202
flat,dlf the crest,sector 54,11.0,35484.0,4,5,3+,7.0,Relatively New,3444.0,1,1,0,1,0,1,49,"28.4348° N, 77.1089° E",28.4348,77.1089
house,independent,sector 21,1.6,11852.0,5,5,2,3.0,Relatively New,120.0,0,0,0,0,0,1,0,"28.5134° N, 77.0723° E",28.5134,77.0723
house,unitech aspen greens,sector 50,6.8,31481.0,4,5,3,3.0,Old Property,2160.0,1,1,0,0,0,0,111,"28.4178° N, 77.0628° E",28.4178,77.0628
house,suncity township,sector 54,25.0,31110.0,4,4,3+,2.0,Moderately Old,8036.0,1,1,1,1,0,1,0,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,vatika city,sector 49,2.64,11725.0,3,4,3+,2.0,Moderately Old,2252.0,0,1,0,1,0,0,140,"28.4121° N, 77.0480° E",28.4121,77.048
house,signature global city 92,sector 92,0.75,7820.0,2,2,3,1.0,Relatively New,959.0,0,0,0,0,0,1,46,"28.4079° N, 77.9153° E",28.4079,77.9153
flat,shapoorji pallonji joyville gurugram,sector 102,2.04,14068.0,3,3,3+,1.0,Relatively New,1644.0,0,0,0,0,0,1,72,"28.4750° N, 77.9715° E",28.475,77.9715
flat,godrej habitat,sector 3,1.1,10410.0,2,2,2,14.0,Under Construction,956.0,0,0,0,0,0,1,60,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,ireo victory valley,sector 67,3.05,12650.0,3,3,3+,21.0,Relatively New,2029.0,0,1,0,0,0,0,157,"28.3859° N, 77.0608° E",28.3859,77.0608
house,bestech park view aindependentda,sector 81,4.35,7937.0,4,4,3,2.0,Relatively New,5480.0,0,1,1,0,0,1,51,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,ats triumph,sector 104,2.3,10000.0,3,4,3+,15.0,New Property,2544.0,0,1,0,0,0,1,117,"28.4788° N, 76.9960° E",28.4788,76.996
flat,hsiidc sidco shivalik apartments,manesar,0.73,3560.0,3,3,3+,2.0,Moderately Old,1705.0,0,1,0,0,0,1,80,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,signature global city 37d ph 2,sector 37d,1.36,8846.0,3,3,3,1.0,Relatively New,1535.0,0,0,0,1,1,1,37,"28.4478° N, 77.9703° E",28.4478,77.9703
